mean/gen/train/policy_gradient_loss,mean/gen/time/time_elapsed,mean/disc/disc_loss,mean/gen/train/approx_kl,mean/disc/disc_acc_expert,mean/disc/disc_proportion_expert_pred,mean/gen/train/explained_variance,mean/gen/train/n_updates,mean/gen/rollout/ep_len_mean,mean/gen/train/learning_rate,mean/disc/disc_entropy,mean/gen/time/iterations,mean/disc/global_step,mean/gen/train/entropy_loss,mean/gen/train/clip_range,mean/gen/train/loss,mean/gen/train/value_loss,mean/disc/n_expert,mean/disc/disc_acc_gen,mean/gen/time/total_timesteps,mean/disc/disc_proportion_expert_true,mean/gen/rollout/ep_rew_mean,mean/disc/n_generated,mean/gen/train/clip_fraction,mean/disc/disc_acc,mean/gen/time/fps,mean/gen/rollout/ep_rew_wrapped_mean
-0.0034135725218220614,0.0,0.6174086332321167,0.0020675472915172577,0.5546875,0.431640625,0.2252262830734253,13800.0,45.0,0.0001,0.626869797706604,1.0,1725.0,-0.019190234998859523,0.2,0.34879523515701294,1.604721982148476,256.0,0.69140625,883200.0,0.5,1085.0,256.0,0.00732421875,0.623046875,1967.0,-15.13061320733279
-0.008442042064416455,0.0,0.618528425693512,0.0057565802708268166,0.66796875,0.51171875,0.4124050736427307,13808.0,45.0,0.0001,0.6287442445755005,1.0,1726.0,-0.02832306934533335,0.2,1.3899204730987549,3.990660700481385,256.0,0.64453125,883712.0,0.5,1046.5,256.0,0.0224609375,0.65625,1976.0,-14.346958063319326
-0.004894939782388974,0.0,0.6646502017974854,0.007158469408750534,0.6640625,0.599609375,0.6140888333320618,13816.0,45.0,0.0001,0.6136958599090576,1.0,1727.0,-0.021042047870651004,0.2,0.4758639931678772,3.3453707536682487,256.0,0.46484375,884224.0,0.5,1097.0,256.0,0.01171875,0.564453125,1602.0,-13.367832645624876
-0.002442302753479453,0.0,0.6419997811317444,0.0045568146742880344,0.67578125,0.556640625,0.6920534372329712,13824.0,45.0,0.0001,0.6018695831298828,1.0,1728.0,-0.019465178871200806,0.2,1.2137455940246582,3.2027525058947504,256.0,0.5625,884736.0,0.5,1076.5,256.0,0.0087890625,0.619140625,1951.0,-12.006656820625066
-0.00452175639293273,0.0,0.6152970790863037,0.00497858040034771,0.6953125,0.541015625,0.6935466527938843,13832.0,45.0,0.0001,0.5979866981506348,1.0,1729.0,-0.02115668239457591,0.2,1.029260277748108,4.032797621563077,256.0,0.61328125,885248.0,0.5,1036.5,256.0,0.015380859375,0.654296875,1772.0,-10.767308699414134
-0.006196125916176243,0.0,0.6246730089187622,0.0063445353880524635,0.64453125,0.515625,0.6890455484390259,13840.0,45.0,0.0001,0.5967849493026733,1.0,1730.0,-0.0273635648952677,0.2,0.6122467517852783,3.952805303968489,256.0,0.61328125,885760.0,0.5,1061.0,256.0,0.016357421875,0.62890625,1775.0,-9.660374955162405
-0.006154933265861473,0.0,0.6057007908821106,0.009937820956110954,0.625,0.462890625,0.46597379446029663,13848.0,45.0,0.0001,0.6122304201126099,1.0,1731.0,-0.02427919516003385,0.2,0.5447903275489807,4.197458557784557,256.0,0.69921875,886272.0,0.5,1054.0,256.0,0.015380859375,0.662109375,2032.0,-8.704932239241899
-0.004068404457939323,0.0,0.6764706373214722,0.024296032264828682,0.62890625,0.546875,0.5045798420906067,13856.0,45.0,0.0001,0.6158322095870972,1.0,1732.0,-0.029290638179190864,0.2,0.8543939590454102,5.965540048666298,256.0,0.53515625,886784.0,0.5,1111.0,256.0,0.020263671875,0.58203125,1407.0,-8.978432453796268
-0.004529819179879269,0.0,0.6359084844589233,0.005366593599319458,0.609375,0.515625,0.5995941162109375,13864.0,45.0,0.0001,0.6003835201263428,1.0,1733.0,-0.030435459727414127,0.2,0.3425000309944153,2.721573791699484,256.0,0.578125,887296.0,0.5,1133.5,256.0,0.01953125,0.59375,1882.0,-8.444397314228118
-0.0014044682029634714,0.0,0.6572485566139221,0.005849973298609257,0.6328125,0.568359375,0.7400766611099243,13872.0,45.0,0.0001,0.6279212832450867,1.0,1734.0,-0.03651980542053934,0.2,0.28348299860954285,1.8934920721221715,256.0,0.49609375,887808.0,0.5,1190.5,256.0,0.018310546875,0.564453125,1583.0,-8.11897047445178
-0.005038482137024403,0.0,0.6469096541404724,0.003740372136235237,0.58984375,0.50390625,0.4617082476615906,13880.0,45.0,0.0001,0.6365498304367065,1.0,1735.0,-0.039022295677568763,0.2,0.40710046887397766,4.2380651326384395,256.0,0.58203125,888320.0,0.5,1230.5,256.0,0.024658203125,0.5859375,1762.0,-7.912249666377902
-0.004938855388900265,0.0,0.6305420398712158,0.0034030938986688852,0.54296875,0.4375,0.018939852714538574,13888.0,45.0,0.0001,0.6302801370620728,1.0,1736.0,-0.04227843417720578,0.2,1.335036277770996,3.547471399884671,256.0,0.66796875,888832.0,0.5,1197.5,256.0,0.0234375,0.60546875,1636.0,-8.258634998947382
-0.006629696712479927,0.0,0.6256442666053772,0.062025900930166245,0.43359375,0.33984375,-0.04830193519592285,13896.0,45.0,0.0001,0.6343925595283508,1.0,1737.0,-0.03709688755498064,0.2,0.28882575035095215,1.5433578784577549,256.0,0.75390625,889344.0,0.5,1267.0,256.0,0.036376953125,0.59375,1740.0,-9.703073611855507
-0.005919880619330797,0.0,0.6524704694747925,0.014556797221302986,0.31640625,0.220703125,0.2906392812728882,13904.0,45.0,0.0001,0.6352882981300354,1.0,1738.0,-0.0285026530812047,0.2,0.18764615058898926,1.4513103773351759,256.0,0.875,889856.0,0.5,1269.0,256.0,0.021484375,0.595703125,1828.0,-10.627165665403009
-0.006482443983259145,0.0,0.6418726444244385,0.004290409851819277,0.23046875,0.146484375,0.5780135095119476,13912.0,45.0,0.0001,0.6357475519180298,1.0,1739.0,-0.033975640363678394,0.2,0.5068381428718567,1.9728570636361837,256.0,0.9375,890368.0,0.5,1264.5,256.0,0.021240234375,0.583984375,1768.0,-12.038785370215773
-0.007157632921007462,0.0,0.6524412631988525,0.005629830062389374,0.2421875,0.142578125,0.44853705167770386,13920.0,45.0,0.0001,0.6322240829467773,1.0,1740.0,-0.031069408762050443,0.2,0.9982495903968811,3.75996962422505,256.0,0.95703125,890880.0,0.5,1287.0,256.0,0.025634765625,0.599609375,1460.0,-13.519404735863208
