raw/disc/global_step,raw/disc/disc_proportion_expert_pred,raw/disc/disc_loss,raw/disc/disc_acc_expert,raw/disc/disc_entropy,raw/disc/disc_proportion_expert_true,raw/disc/disc_acc_gen,raw/disc/n_generated,raw/disc/n_expert,raw/disc/disc_acc
8,0.734375,0.15406395494937897,1.0,0.6768581867218018,0.5,0.53125,128.0,128.0,0.765625
8,0.796875,0.1577790379524231,0.9765625,0.6780403852462769,0.5,0.3828125,128.0,128.0,0.6796875
8,0.4453125,0.1569841504096985,0.5,0.6825265288352966,0.5,0.609375,128.0,128.0,0.5546875
9,0.2890625,0.15773247182369232,0.4453125,0.6817428469657898,0.5,0.8671875,128.0,128.0,0.65625
9,0.24609375,0.1569165140390396,0.4296875,0.6786758303642273,0.5,0.9375,128.0,128.0,0.68359375
9,0.34765625,0.15685182809829712,0.5234375,0.6789295673370361,0.5,0.828125,128.0,128.0,0.67578125
10,0.38671875,0.15884900093078613,0.5,0.6781591773033142,0.5,0.7265625,128.0,128.0,0.61328125
10,0.3984375,0.15497377514839172,0.53125,0.6720958948135376,0.5,0.734375,128.0,128.0,0.6328125
10,0.375,0.15691478550434113,0.4921875,0.668121874332428,0.5,0.7421875,128.0,128.0,0.6171875
11,0.35546875,0.15095023810863495,0.5234375,0.6565507054328918,0.5,0.8125,128.0,128.0,0.66796875
11,0.34765625,0.15255571901798248,0.515625,0.6517002582550049,0.5,0.8203125,128.0,128.0,0.66796875
11,0.375,0.14143626391887665,0.6015625,0.6360161304473877,0.5,0.8515625,128.0,128.0,0.7265625
12,0.3828125,0.15095838904380798,0.5390625,0.6382195949554443,0.5,0.7734375,128.0,128.0,0.65625
12,0.35546875,0.1447102129459381,0.5546875,0.6387041807174683,0.5,0.84375,128.0,128.0,0.69921875
12,0.3359375,0.15708708763122559,0.453125,0.6430231332778931,0.5,0.78125,128.0,128.0,0.6171875
13,0.2890625,0.14811228215694427,0.453125,0.6474472880363464,0.5,0.875,128.0,128.0,0.6640625
13,0.2578125,0.15289026498794556,0.3828125,0.6449248790740967,0.5,0.8671875,128.0,128.0,0.625
13,0.3359375,0.15185987949371338,0.4921875,0.6321831345558167,0.5,0.8203125,128.0,128.0,0.65625
14,0.2890625,0.149034321308136,0.453125,0.6229504942893982,0.5,0.875,128.0,128.0,0.6640625
14,0.27734375,0.1483597457408905,0.4453125,0.6086137890815735,0.5,0.890625,128.0,128.0,0.66796875
14,0.375,0.13921791315078735,0.5859375,0.5934019684791565,0.5,0.8359375,128.0,128.0,0.7109375
15,0.3203125,0.15069890022277832,0.4765625,0.6090678572654724,0.5,0.8359375,128.0,128.0,0.65625
15,0.34765625,0.15955376625061035,0.4609375,0.6070142984390259,0.5,0.765625,128.0,128.0,0.61328125
15,0.29296875,0.15204477310180664,0.4296875,0.5942806601524353,0.5,0.84375,128.0,128.0,0.63671875
16,0.3125,0.15127193927764893,0.4765625,0.5982241034507751,0.5,0.8515625,128.0,128.0,0.6640625
16,0.328125,0.15355707705020905,0.4609375,0.6137642860412598,0.5,0.8046875,128.0,128.0,0.6328125
16,0.30859375,0.1445215344429016,0.5,0.631432294845581,0.5,0.8828125,128.0,128.0,0.69140625
17,0.2890625,0.15091606974601746,0.453125,0.6410476565361023,0.5,0.875,128.0,128.0,0.6640625
17,0.27734375,0.14527767896652222,0.453125,0.6356290578842163,0.5,0.8984375,128.0,128.0,0.67578125
17,0.3046875,0.16242992877960205,0.3984375,0.6327204704284668,0.5,0.7890625,128.0,128.0,0.59375
18,0.375,0.15215204656124115,0.53125,0.6171037554740906,0.5,0.78125,128.0,128.0,0.65625
18,0.359375,0.14663642644882202,0.5390625,0.6206732392311096,0.5,0.8203125,128.0,128.0,0.6796875
18,0.3984375,0.14240390062332153,0.5859375,0.6124981641769409,0.5,0.7890625,128.0,128.0,0.6875
19,0.33203125,0.14914575219154358,0.5078125,0.6297489404678345,0.5,0.84375,128.0,128.0,0.67578125
19,0.296875,0.15340322256088257,0.4296875,0.6378801465034485,0.5,0.8359375,128.0,128.0,0.6328125
19,0.3359375,0.14700493216514587,0.5234375,0.6347293853759766,0.5,0.8515625,128.0,128.0,0.6875
