mean/gen/time/iterations,mean/disc/n_expert,mean/gen/train/n_updates,mean/gen/rollout/ep_rew_mean,mean/disc/global_step,mean/disc/disc_acc_gen,mean/gen/train/policy_gradient_loss,mean/disc/disc_proportion_expert_pred,mean/gen/train/value_loss,mean/gen/time/time_elapsed,mean/disc/disc_proportion_expert_true,mean/gen/train/clip_fraction,mean/gen/train/clip_range,mean/gen/time/total_timesteps,mean/gen/train/learning_rate,mean/disc/disc_loss,mean/gen/train/approx_kl,mean/gen/train/loss,mean/gen/rollout/ep_len_mean,mean/gen/train/entropy_loss,mean/gen/train/explained_variance,mean/disc/disc_entropy,mean/disc/disc_acc_expert,mean/disc/disc_acc,mean/disc/n_generated,mean/gen/time/fps,mean/gen/rollout/ep_rew_wrapped_mean
1.0,256.0,14184.0,1353.0,1773.0,0.728515625,-0.006637252590735443,0.390625,4.177790175657719,0.0,0.5,0.03515625,0.2,907776.0,0.0001,0.6394273042678833,0.011784913018345833,0.34683167934417725,45.0,-0.0507695132146182,0.18936097621917725,0.625446617603302,0.509765625,0.619140625,256.0,1843.0,-18.687838264107704
1.0,256.0,14192.0,1310.0,1774.0,0.787109375,-0.0033366584866598714,0.384765625,3.650010018609464,0.0,0.5,0.017578125,0.2,908288.0,0.0001,0.6196330189704895,0.0050338273867964745,0.40730029344558716,45.0,-0.025919578081811778,0.645192563533783,0.6330682933330536,0.556640625,0.671875,256.0,2015.0,-19.15624719042331
1.0,256.0,14200.0,1270.0,1775.0,0.791015625,-0.002926238172221929,0.3544921875,2.0943625732325017,0.0,0.5,0.012939453125,0.2,908800.0,0.0001,0.6243653297424316,0.004618975333869457,0.22764869034290314,45.0,-0.02742228606257413,-0.06207287311553955,0.6416948437690735,0.5,0.6455078125,256.0,2105.0,-18.84366775956005
1.0,256.0,14208.0,1241.5,1776.0,0.640625,-0.007584974970086478,0.4619140625,2.959885614924133,0.0,0.5,0.027587890625,0.2,909312.0,0.0001,0.6394333839416504,0.007259276695549488,0.5885156989097595,45.0,-0.05247377929481445,0.13039004802703857,0.6320880353450775,0.564453125,0.6025390625,256.0,1811.0,-18.100059601105748
1.0,256.0,14216.0,1236.0,1777.0,0.69140625,-0.0072157864524342585,0.4619140625,3.0157185895368457,0.0,0.5,0.020751953125,0.2,909824.0,0.0001,0.6240618228912354,0.007407392840832472,0.8442091345787048,45.0,-0.04753756777790841,0.0007432103157043457,0.6254274249076843,0.615234375,0.6533203125,256.0,1849.0,-17.090820989459754
1.0,256.0,14224.0,1252.0,1778.0,0.650390625,-0.00784010410279734,0.46875,3.2862723232246935,0.0,0.5,0.03271484375,0.2,910336.0,0.0001,0.6238872408866882,0.006982855498790741,0.8907739520072937,45.0,-0.06554927528486587,0.5219971835613251,0.6322463750839233,0.587890625,0.619140625,256.0,1751.0,-16.28511514466256
1.0,256.0,14232.0,1256.5,1779.0,0.630859375,-0.0055309716844931245,0.4658203125,3.4918013918213546,0.0,0.5,0.02978515625,0.2,910848.0,0.0001,0.6386981010437012,0.006052844226360321,0.4291403889656067,45.0,-0.05254582580710121,0.2961081862449646,0.623633623123169,0.5625,0.5966796875,256.0,1735.0,-15.429849059917032
1.0,256.0,14240.0,1253.0,1780.0,0.66015625,-0.004452280518307816,0.453125,2.3415463699493557,0.0,0.5,0.012451171875,0.2,911360.0,0.0001,0.63933265209198,0.0035423978697508574,0.1551329791545868,45.0,-0.030934833295759745,0.4599837064743042,0.6231346130371094,0.56640625,0.61328125,256.0,1802.0,-15.177779633291065
1.0,256.0,14248.0,1229.5,1781.0,0.771484375,-0.0077718996471958235,0.37109375,2.535153045784682,0.0,0.5,0.031982421875,0.2,911872.0,0.0001,0.6187652945518494,0.008432097733020782,0.2593404948711395,45.0,-0.051925362487963866,0.4583829641342163,0.6173977851867676,0.513671875,0.642578125,256.0,1748.0,-15.208494466915727
1.0,256.0,14256.0,1265.0,1782.0,0.791015625,-0.00470980851969216,0.3486328125,2.8224665112793446,0.0,0.5,0.01416015625,0.2,912384.0,0.0001,0.640192449092865,0.0060142818838357925,0.5287079811096191,45.0,-0.034081937998053036,0.454034686088562,0.63816699385643,0.48828125,0.6396484375,256.0,1908.0,-15.764740159064532
