raw/gen/time/total_timesteps,raw/gen/rollout/ep_len_mean,raw/gen/time/fps,raw/gen/rollout/ep_rew_mean,raw/gen/time/iterations,raw/gen/time/time_elapsed,raw/gen/rollout/ep_rew_wrapped_mean,raw/gen/train/learning_rate,raw/gen/train/explained_variance,raw/gen/train/approx_kl,raw/gen/train/clip_range,raw/gen/train/clip_fraction,raw/gen/train/loss,raw/gen/train/entropy_loss,raw/gen/train/n_updates,raw/gen/train/value_loss,raw/gen/train/policy_gradient_loss
13312,45.0,2104,-523.5,1,0,-3.6355590360611676,0.0001,0.34026390314102173,0.0042270594,0.2,0.045166015625,0.010707183741033077,-0.4047150139231235,200,0.06968428107211366,-0.009529546288831625
13824,45.0,3083,-523.5,1,0,-3.9481920425966384,0.0001,0.4345713257789612,0.002079741,0.2,0.035400390625,0.027232054620981216,-0.35227044322527945,208,0.07932610099669546,-0.005815429103677161
14336,45.0,2915,-529.5,1,0,-4.299981109835207,0.0001,0.3365206718444824,0.0035469192,0.2,0.037109375,0.017284128814935684,-0.3639108643401414,216,0.08424855013436172,-0.006412253977032378
14848,45.0,3032,-527.5,1,0,-4.631595453135669,0.0001,0.5345820188522339,0.004668935,0.2,0.0556640625,-0.009640900418162346,-0.42137983278371394,224,0.08765701446100138,-0.010047400264738826
15360,45.0,2771,-514.0,1,0,-4.953626185134053,0.0001,0.35669296979904175,0.0040602894,0.2,0.046142578125,0.02515910193324089,-0.44772414583712816,232,0.08798796299379319,-0.006852709979284555
15872,45.0,2885,-530.5,1,0,-5.274248000867665,0.0001,0.40407049655914307,0.0045781983,0.2,0.034912109375,0.008519330993294716,-0.5093915571924299,240,0.09034635254647583,-0.006026924391335342
16384,45.0,2994,-519.0,1,0,-5.56414218917489,0.0001,0.3540780544281006,0.004073482,0.2,0.04296875,-0.0009243972599506378,-0.3982800985686481,248,0.10126012022374198,-0.005424691677035298
16896,45.0,2989,-516.5,1,0,-5.902368587180972,0.0001,0.1587868332862854,0.0044145156,0.2,0.047607421875,0.02316056191921234,-0.3587482066359371,256,0.10659468054655008,-0.009545298424200155
17408,45.0,2109,-527.5,1,0,-6.231691174134612,0.0001,0.14516937732696533,0.002736637,0.2,0.02197265625,0.04454758018255234,-0.37143134186044335,264,0.11343478786875494,-0.004842383230425185
17920,45.0,2806,-520.5,1,0,-6.573485982827842,0.0001,0.21178168058395386,0.0015786326,0.2,0.024169921875,0.03809252008795738,-0.37419109698385,272,0.11148578085703775,-0.003691575868288055
18432,45.0,2876,-520.5,1,0,-6.962623232267797,0.0001,0.2994929552078247,0.0052542714,0.2,0.03857421875,0.04285721480846405,-0.3744210333097726,280,0.13032497244421393,-0.0064838712132768705
18944,45.0,2799,-522.0,1,0,-7.322929186038673,0.0001,0.253423273563385,0.004365326,0.2,0.0419921875,0.019290298223495483,-0.35957846068777144,288,0.12689470406621695,-0.007915784022770822
19456,45.0,2877,-515.0,1,0,-7.679791336394846,0.0001,0.23975330591201782,0.003341312,0.2,0.03564453125,0.04467087984085083,-0.3363325516693294,296,0.1342126864765305,-0.005243033745500725
19968,45.0,2923,-538.0,1,0,-8.079317722059786,0.0001,0.16087275743484497,0.0024859798,0.2,0.02197265625,0.029819827526807785,-0.3538318823557347,304,0.14225251198513433,-0.004126980402361369
20480,45.0,2928,-525.5,1,0,-8.445687651373445,0.0001,0.06649625301361084,0.002095921,0.2,0.022705078125,0.05479893460869789,-0.3697927522007376,312,0.1764609236852266,-0.004468588282179553
20992,45.0,3105,-523.0,1,0,-8.850064223818482,0.0001,0.009608805179595947,0.0031429655,0.2,0.0302734375,0.06549173593521118,-0.4002768655773252,320,0.18938841379713267,-0.004251271409884794
21504,45.0,2964,-525.0,1,0,-9.266979793421925,0.0001,0.09513580799102783,0.001932917,0.2,0.0234375,0.02294990047812462,-0.33277898328378797,328,0.22705427289474756,-0.002815544663462788
22016,45.0,3093,-530.5,1,0,-9.665801487378776,0.0001,0.07069253921508789,0.0020258133,0.2,0.02197265625,0.06611211597919464,-0.3158422567648813,336,0.244153774343431,-0.004725610924651846
22528,45.0,3193,-530.5,1,0,-10.132984516136348,0.0001,0.07502138614654541,0.0009946878,0.2,0.00732421875,0.12171997129917145,-0.2969527541426942,344,0.30300385830923915,-0.0014944174326956272
23040,45.0,3018,-526.5,1,0,-10.58303783442825,0.0001,0.05401885509490967,0.0022800462,0.2,0.015869140625,0.09446235001087189,-0.3193396052811295,352,0.28273173834895715,-0.001993066427530721
23552,45.0,2993,-520.5,1,0,-11.065008304938674,0.0001,0.032753825187683105,0.005393401,0.2,0.02392578125,0.08507496863603592,-0.3280261172913015,360,0.33842760912375525,-0.004203214826702606
24064,45.0,2951,-524.0,1,0,-11.535158423744143,0.0001,0.19829493761062622,0.0050903256,0.2,0.026611328125,0.11951418966054916,-0.3679680973291397,368,0.3996763068716973,-0.0069639313442166895
24576,45.0,2714,-511.5,1,0,-11.978824414610862,0.0001,0.06786686182022095,0.00451092,0.2,0.02099609375,0.08382998406887054,-0.4216145188547671,376,0.3857695302576758,-0.0037689508753828704
25088,45.0,2818,-509.0,1,0,-12.437111115716398,0.0001,0.29082995653152466,0.0033544162,0.2,0.031982421875,0.12941482663154602,-0.5114964947570115,384,0.5665122538339347,-0.012345470786385704
25600,45.0,3015,-516.5,1,0,-12.84532523524016,0.0001,0.35688745975494385,0.003965895,0.2,0.037109375,0.15074732899665833,-0.47328110481612384,392,0.5812204303219914,-0.006448756474128459
26112,45.0,2780,-489.0,1,0,-13.405329504609108,0.0001,0.12566214799880981,0.0070732646,0.2,0.023193359375,0.13814273476600647,-0.433939219918102,400,0.587658136151731,-0.006319558655377477
26624,45.0,3043,-465.5,1,0,-13.893039932306856,0.0001,0.30310750007629395,0.005429883,0.2,0.046142578125,0.1289878785610199,-0.495551084401086,408,0.7920427707722411,-0.015205679737846367
27136,45.0,2880,-447.5,1,0,-14.438233304526657,0.0001,0.35177892446517944,0.0054177307,0.2,0.0185546875,0.3531888425350189,-0.42463393160142004,416,0.8859800753416494,-0.005743646324845031
27648,45.0,2893,-443.5,1,0,-15.009106662478297,0.0001,0.3741862177848816,0.004964034,0.2,0.049072265625,0.1741628646850586,-0.4967963993549347,424,1.0094277213793248,-0.013947232517239172
28160,45.0,2942,-449.0,1,0,-15.61136472654529,0.0001,0.1795872449874878,0.0061113266,0.2,0.024169921875,0.310255229473114,-0.47821047017350793,432,1.0360164451412857,-0.008400320657528937
28672,45.0,2659,-423.0,1,0,-16.30341425119899,0.0001,0.3835141658782959,0.0054511614,0.2,0.03369140625,0.1791621446609497,-0.4704043981619179,440,1.018308590631932,-0.010858706169528887
29184,45.0,2670,-409.5,1,0,-16.89460665495135,0.0001,0.4130438566207886,0.0047652633,0.2,0.027587890625,0.5642114877700806,-0.5021612925920635,448,1.3533607576973736,-0.009647860286349896
29696,45.0,2398,-349.0,1,0,-17.551624347483738,0.0001,0.4989358186721802,0.0043419786,0.2,0.019287109375,0.42154374718666077,-0.5187507236842066,456,1.658642957219854,-0.007756258106383029
30208,45.0,2408,-286.0,1,0,-18.057041820995508,0.0001,0.4850153923034668,0.0047109947,0.2,0.03369140625,0.4952370524406433,-0.5667681167833507,464,2.0845834214705974,-0.014477596436336171
30720,45.0,1931,-290.5,1,0,-18.425405287304894,0.0001,0.5396990776062012,0.0043287533,0.2,0.03271484375,1.1734745502471924,-0.6375331184826791,472,3.327489144168794,-0.015210979079711251
31232,45.0,2587,-285.5,1,0,-19.24221278280951,0.0001,0.11308211088180542,0.008789639,0.2,0.045166015625,0.4605194330215454,-0.5861310232430696,480,2.317322203889489,-0.012934162390592974
31744,45.0,2385,-286.0,1,0,-19.937754873810334,0.0001,0.33443760871887207,0.0044697854,0.2,0.0390625,0.31028005480766296,-0.6927646594122052,488,2.1543295988813043,-0.013466084616084117
32256,45.0,2105,-244.0,1,0,-20.62247774784453,0.0001,0.628943145275116,0.009791531,0.2,0.0615234375,0.6940183639526367,-0.7669982705265284,496,2.1613543960265815,-0.01761395589710446
32768,45.0,2257,-225.5,1,0,-21.11499014697969,0.0001,0.7695832997560501,0.007521361,0.2,0.062744140625,0.499478280544281,-0.8955045561306179,504,2.1302994024008512,-0.01995682271081023
33280,45.0,2157,-220.5,1,0,-21.787407829542644,0.0001,0.4141046404838562,0.005551729,0.2,0.03125,1.2923808097839355,-0.8349341028369963,512,4.1788000371307135,-0.016700562235200778
33792,45.0,1867,-215.5,1,0,-22.496666394458153,0.0001,0.6095908880233765,0.00808337,0.2,0.0390625,2.440929651260376,-0.8339989450760186,520,3.9686092538759112,-0.0115719274544972
34304,45.0,1709,-203.5,1,0,-23.001587471454403,0.0001,0.5175635516643524,0.007532433,0.2,0.06005859375,3.2483744621276855,-0.9865991021506488,528,6.191132552921772,-0.019986155901278835
34816,45.0,2062,-252.0,1,0,-23.622345002996735,0.0001,0.5232762694358826,0.0066405945,0.2,0.053466796875,1.589093804359436,-0.9592042160220444,536,6.270838808268309,-0.01746835185258533
35328,45.0,2208,-241.5,1,0,-24.944973317547703,0.0001,0.5323615372180939,0.0052219415,0.2,0.028564453125,2.5253071784973145,-0.9253371781669557,544,7.111483512446284,-0.013539486179070082
35840,45.0,1462,-205.0,1,0,-26.47084554378409,0.0001,0.47655707597732544,0.005776116,0.2,0.027099609375,1.461395502090454,-0.908408488612622,552,8.608484851196408,-0.010795790374686476
36352,45.0,1866,-163.0,1,0,-27.578207723977975,0.0001,0.4908773899078369,0.005850927,0.2,0.0380859375,3.5609397888183594,-0.9728911970742047,560,9.383012851700187,-0.01546212355606258
36864,45.0,1670,-151.0,1,0,-29.037822360242718,0.0001,0.058493196964263916,0.008192943,0.2,0.0498046875,1.0445213317871094,-0.9743536761961877,568,6.780819492414594,-0.01681407991418382
37376,45.0,1874,-127.0,1,0,-30.986341622602193,0.0001,0.07505196332931519,0.010171669,0.2,0.056640625,2.5800724029541016,-0.9728230331093073,576,7.260329615324736,-0.014591562496207189
37888,45.0,1681,-106.5,1,0,-33.20357795321382,0.0001,0.13344430923461914,0.009601657,0.2,0.033447265625,3.0647895336151123,-0.9067950248718262,584,8.438338596373796,-0.007833786290575517
38400,45.0,1877,-105.5,1,0,-35.4260531923268,0.0001,0.2616121768951416,0.00997203,0.2,0.065185546875,3.15374755859375,-0.9627346969209611,592,9.055703205987811,-0.01603192691982258
38912,45.0,1710,-143.5,1,0,-38.48257605577819,0.0001,0.17486578226089478,0.0055924524,0.2,0.02880859375,3.556130886077881,-0.9071661112830043,600,12.608676692470908,-0.011868451554619242
