raw/gen/time/iterations,raw/gen/time/fps,raw/gen/time/total_timesteps,raw/gen/time/time_elapsed,raw/gen/train/explained_variance,raw/gen/train/policy_gradient_loss,raw/gen/train/clip_range,raw/gen/train/clip_fraction,raw/gen/train/entropy_loss,raw/gen/train/approx_kl,raw/gen/rollout/ep_rew_wrapped_mean,raw/gen/train/loss,raw/gen/train/n_updates,raw/gen/train/learning_rate,raw/gen/train/value_loss
3,676,47104,9,0.00022971630096435547,-1.9236677326261996e-05,0.1,0.0,-1.6071882367134094,2.2724853e-06,-29.02613710463047,7.549758434295654,110,0.00011200000000000001,30.376959323883057
4,617,49152,13,0.00019234418869018555,-0.0001110305660404265,0.1,0.0,-1.6071348905563354,2.6040681e-05,-32.70526508688927,7.444551944732666,115,0.000108,30.92733907699585
5,587,51200,17,0.00015985965728759766,-1.9751430954784155e-05,0.1,0.0,-1.6069158971309663,2.3724278e-06,-33.17640815615654,7.3570122718811035,120,0.00010400000000000001,30.56272897720337
1,2613,53248,0,0.00012600421905517578,-6.342253182083369e-05,0.1,0.0,-1.6067632257938385,6.128801e-06,-32.78102804034948,6.559661865234375,125,0.0001,28.343293380737304
2,808,55296,5,9.912252426147461e-05,-8.311821147799492e-05,0.1,0.0,-1.606493777036667,1.0096817e-05,-38.448939721286294,20.672374725341797,130,0.00011333333333333334,82.22858085632325
3,665,57344,9,6.538629531860352e-05,-4.565867129713297e-05,0.1,0.0,-1.6063283264636994,8.556497e-06,-43.191537506878376,18.342464447021484,135,0.00011,72.02073707580567
4,612,59392,13,5.0961971282958984e-05,-1.0548532009124756e-05,0.1,0.0,-1.6064995408058167,4.652131e-06,-47.87915063470602,17.378467559814453,140,0.00010666666666666667,69.89277954101563
5,583,61440,17,5.6862831115722656e-05,-0.00010942441876977682,0.1,0.0,-1.6065727055072785,1.7234153e-05,-48.16275241136551,19.164758682250977,145,0.00010333333333333334,75.24216918945312
1,2929,63488,0,5.0961971282958984e-05,-2.4551944807171822e-05,0.1,0.0,-1.6066069543361663,4.2455213e-06,-48.30062092483044,17.344316482543945,150,0.0001,74.22392807006835
2,838,65536,4,2.6464462280273438e-05,-5.2792439237236974e-05,0.1,0.0,-1.6066528916358949,4.9360387e-06,-54.33939232826233,36.547882080078125,155,0.00011142857142857143,145.62642364501954
3,674,67584,9,2.485513687133789e-05,-6.0750951524823905e-05,0.1,0.0,-1.6066998958587646,4.729751e-06,-60.33355658352375,38.351463317871094,160,0.00010857142857142858,153.30443420410157
4,610,69632,13,2.664327621459961e-05,-6.715761846862734e-05,0.1,0.0,-1.6065417051315307,1.2720586e-05,-66.65348022043705,38.00305938720703,165,0.00010571428571428572,157.80153045654296
5,583,71680,17,1.990795135498047e-05,-9.494661353528499e-05,0.1,0.0,-1.6064412772655488,8.858973e-06,-68.04751424908638,38.75711441040039,170,0.00010285714285714286,154.597412109375
