mean/gen/train/n_updates,mean/disc/disc_proportion_expert_true,mean/disc/disc_acc_expert,mean/gen/train/policy_gradient_loss,mean/gen/train/approx_kl,mean/gen/train/value_loss,mean/gen/time/total_timesteps,mean/gen/train/learning_rate,mean/disc/disc_acc,mean/gen/train/explained_variance,mean/gen/train/clip_fraction,mean/disc/disc_acc_gen,mean/gen/time/iterations,mean/disc/disc_proportion_expert_pred,mean/disc/n_generated,mean/disc/global_step,mean/gen/train/loss,mean/gen/train/clip_range,mean/disc/disc_loss,mean/gen/time/time_elapsed,mean/gen/train/entropy_loss,mean/gen/rollout/ep_rew_mean,mean/gen/time/fps,mean/gen/rollout/ep_len_mean,mean/disc/n_expert,mean/disc/disc_entropy,mean/gen/rollout/ep_rew_wrapped_mean
168.0,0.5,0.42578125,-0.0006301884859567508,9.504996705800295e-05,48.93404370546341,10752.0,0.0001,0.43359375,0.019696474075317383,0.0,0.44140625,1.0,0.4921875,256.0,21.0,13.546602249145508,0.2,0.761200487613678,0.0,-1.3206909382715821,-571.5,2557.0,45.0,256.0,0.6265658140182495,-32.31535151749849
176.0,0.5,0.41015625,-0.000756850957259303,6.51986338198185e-05,62.42031693458557,11264.0,0.0001,0.474609375,0.005714058876037598,0.0,0.5390625,1.0,0.435546875,256.0,22.0,16.672687530517578,0.2,0.7382662892341614,0.0,-1.3122426010668278,-564.0,2151.0,45.0,256.0,0.6182923913002014,-36.2766193023324
184.0,0.5,0.3828125,-0.0011784763846662827,0.0001163603737950325,76.41767144203186,11776.0,0.0001,0.546875,0.004618167877197266,0.0,0.7109375,1.0,0.3359375,256.0,23.0,26.190311431884766,0.2,0.7355289459228516,0.0,-1.312839437276125,-558.5,2365.0,45.0,256.0,0.6189326047897339,-40.71193319648504
192.0,0.5,0.40625,-0.0012966158974450082,0.00018172594718635082,93.79387870430946,12288.0,0.0001,0.53125,0.0014386773109436035,0.0,0.65625,1.0,0.375,256.0,24.0,33.948238372802734,0.2,0.7401131391525269,0.0,-1.3098748046904802,-558.0,2314.0,45.0,256.0,0.613217294216156,-44.87105353266001
200.0,0.5,0.39453125,-0.00037491742841666564,2.7022091671824455e-05,117.62880152463913,12800.0,0.0001,0.623046875,0.0025997161865234375,0.0,0.8515625,1.0,0.271484375,256.0,25.0,48.263710021972656,0.2,0.7034944891929626,0.0,-1.3216168405488133,-549.5,2602.0,45.0,256.0,0.609938383102417,-49.76516837775707
208.0,0.5,0.44140625,-9.951142601494212e-05,7.303082384169102e-06,133.58747518062592,13312.0,0.0001,0.63671875,0.0018044710159301758,0.0,0.83203125,1.0,0.3046875,256.0,26.0,42.40447235107422,0.2,0.6819830536842346,0.0,-1.3131148433312774,-542.5,2748.0,45.0,256.0,0.5950194001197815,-54.35284766077995
216.0,0.5,0.41796875,-0.0009714334009913728,0.00010830478277057409,155.91427248716354,13824.0,0.0001,0.6328125,0.0010981559753417969,0.0,0.84765625,1.0,0.28515625,256.0,27.0,59.538909912109375,0.2,0.666431188583374,0.0,-1.3166797822341323,-545.0,2718.0,45.0,256.0,0.5877007246017456,-58.83433786332607
224.0,0.5,0.44921875,-0.0004973916511517018,6.175169255584478e-05,169.54587841033936,14336.0,0.0001,0.654296875,0.0007790327072143555,0.0,0.859375,1.0,0.294921875,256.0,28.0,62.99985885620117,0.2,0.6397454738616943,0.0,-1.338269829750061,-545.0,2856.0,45.0,256.0,0.5848225355148315,-63.846067150831225
232.0,0.5,0.4140625,-0.00029988882852194365,1.9146478734910488e-05,193.20770025253296,14848.0,0.0001,0.6328125,0.0006480813026428223,0.0,0.8515625,1.0,0.28125,256.0,29.0,78.63726806640625,0.2,0.6610839366912842,0.0,-1.327724989503622,-545.0,2881.0,45.0,256.0,0.5696057081222534,-68.24705427408219
240.0,0.5,0.47265625,-0.0003333376153022982,3.9606005884706974e-05,182.75297808647156,15360.0,0.0001,0.65625,0.00018417835235595703,0.0,0.83984375,1.0,0.31640625,256.0,30.0,70.43920135498047,0.2,0.6362752914428711,0.0,-1.331202145665884,-551.0,2408.0,45.0,256.0,0.567082941532135,-72.62997166037559
