mean/gen/time/iterations,mean/gen/train/value_loss,mean/gen/train/n_updates,mean/disc/n_expert,mean/disc/disc_acc_gen,mean/disc/disc_acc,mean/disc/disc_entropy,mean/disc/global_step,mean/gen/train/explained_variance,mean/gen/train/policy_gradient_loss,mean/gen/time/total_timesteps,mean/gen/time/time_elapsed,mean/gen/train/clip_range,mean/gen/train/entropy_loss,mean/gen/rollout/ep_len_mean,mean/disc/disc_proportion_expert_true,mean/gen/time/fps,mean/disc/disc_loss,mean/gen/train/approx_kl,mean/gen/train/clip_fraction,mean/disc/n_generated,mean/disc/disc_acc_expert,mean/gen/train/loss,mean/gen/train/learning_rate,mean/disc/disc_proportion_expert_pred,mean/gen/rollout/ep_rew_mean,mean/gen/rollout/ep_rew_wrapped_mean
1.0,554.4410643577576,168.0,256.0,0.74609375,0.775390625,0.5041989684104919,21.0,-0.00021779537200927734,-0.00046624004608020186,10752.0,0.0,0.2,-1.5685416627675295,45.0,0.5,1993.0,0.5161219835281372,3.236194606870413e-05,0.0,256.0,0.8046875,240.7516632080078,0.0001,0.529296875,-430.0,-101.45677035247441
1.0,709.1230347156525,176.0,256.0,0.859375,0.849609375,0.49993929266929626,22.0,0.000334322452545166,-0.0007869685578043573,11264.0,0.0,0.2,-1.5708061046898365,45.0,0.5,1892.0,0.44177359342575073,3.962928894907236e-05,0.0,256.0,0.83984375,293.95501708984375,0.0001,0.490234375,-423.5,-104.10362202338176
1.0,700.6468760967255,184.0,256.0,0.90625,0.865234375,0.4788060784339905,23.0,0.0005963444709777832,-0.0005843811959493905,11776.0,0.0,0.2,-1.5751668754965067,45.0,0.5,2081.0,0.3955235779285431,1.754134427756071e-05,0.0,256.0,0.82421875,350.8331298828125,0.0001,0.458984375,-421.5,-109.87357374461601
1.0,345.175577044487,192.0,256.0,0.75,0.779296875,0.502477765083313,24.0,-0.0001500844955444336,-0.0012026523909298703,12288.0,0.0,0.2,-1.5766036994755268,45.0,0.5,2133.0,0.5352956056594849,5.639286246150732e-05,0.0,256.0,0.80859375,114.24197387695312,0.0001,0.529296875,-416.0,-115.30389665545198
1.0,280.0642554759979,200.0,256.0,0.63671875,0.728515625,0.5016884803771973,25.0,7.94529914855957e-05,-0.002718183066463098,12800.0,0.0,0.2,-1.5685954578220844,45.0,0.5,1880.0,0.5157506465911865,0.000432646949775517,0.0,256.0,0.8203125,111.53716278076172,0.0001,0.591796875,-414.0,-117.31503558431984
1.0,558.930148601532,208.0,256.0,0.82421875,0.814453125,0.46486806869506836,26.0,0.0005519986152648926,-0.0016000069335859735,13312.0,0.0,0.2,-1.5658456180244684,45.0,0.5,1878.0,0.3915666341781616,0.00013372988905757666,0.0,256.0,0.8046875,218.0400390625,0.0001,0.490234375,-412.5,-118.66798620143207
1.0,308.4133529663086,216.0,256.0,0.73046875,0.787109375,0.48513883352279663,27.0,0.0006545782089233398,-0.001314652541623218,13824.0,0.0,0.2,-1.5798386353999376,45.0,0.5,2147.0,0.4065013527870178,0.00012173177674412727,0.0,256.0,0.84375,122.85009002685547,0.0001,0.556640625,-452.5,-125.17968085528584
1.0,220.74878478050232,224.0,256.0,0.62890625,0.765625,0.47281014919281006,28.0,3.248453140258789e-05,-0.002343656578887021,14336.0,0.0,0.2,-1.5809246571734548,45.0,0.5,2276.0,0.4384095370769501,0.0002556317485868931,0.0,256.0,0.90234375,76.21977996826172,0.0001,0.63671875,-454.0,-125.19042923798551
1.0,190.7789230942726,232.0,256.0,0.55859375,0.73828125,0.46108347177505493,29.0,-7.414817810058594e-05,-0.005441185559902806,14848.0,0.0,0.2,-1.57394477725029,45.0,0.5,1595.0,0.490962415933609,0.0010528921848163009,0.0,256.0,0.91796875,90.18505096435547,0.0001,0.6796875,-456.0,-122.70333250131225
1.0,299.5738651752472,240.0,256.0,0.58984375,0.734375,0.4595525860786438,30.0,-0.0001513957977294922,-0.0027101334708277136,15360.0,0.0,0.2,-1.5770942149683833,45.0,0.5,2299.0,0.46801507472991943,0.00029765116050839424,0.0,256.0,0.87890625,140.01004028320312,0.0001,0.64453125,-459.5,-118.05614524132339
1.0,282.903843998909,248.0,256.0,0.734375,0.82421875,0.44281771779060364,31.0,-0.00013816356658935547,-0.003706662177137332,15872.0,0.0,0.2,-1.5620743101462722,45.0,0.5,1902.0,0.4570608139038086,0.0007179095409810543,0.0,256.0,0.9140625,142.38221740722656,0.0001,0.58984375,-468.5,-115.38965138268424
1.0,380.02904510498047,256.0,256.0,0.69921875,0.806640625,0.45034658908843994,32.0,-0.00016498565673828125,-0.002510163678380195,16384.0,0.0,0.2,-1.5708305956795812,45.0,0.5,2218.0,0.46801313757896423,0.0001945309340953827,0.0,256.0,0.9140625,151.4467315673828,0.0001,0.607421875,-464.5,-111.7582381423167
1.0,465.3676424026489,264.0,256.0,0.73046875,0.81640625,0.42440301179885864,33.0,-8.273124694824219e-05,-0.0024308634019689634,16896.0,0.0,0.2,-1.5590185150504112,45.0,0.5,1974.0,0.49540114402770996,0.00038642529398202896,0.0,256.0,0.90234375,192.84088134765625,0.0001,0.5859375,-474.0,-109.16084870288381
1.0,493.51601934432983,272.0,256.0,0.71484375,0.814453125,0.429618775844574,34.0,-9.918212890625e-05,-0.0019560356304282323,17408.0,0.0,0.2,-1.5603516502305865,45.0,0.5,1792.0,0.49411770701408386,0.0002745947567746043,0.0,256.0,0.9140625,237.24327087402344,0.0001,0.599609375,-478.0,-110.87162261861842
1.0,523.1089451313019,280.0,256.0,0.71875,0.79296875,0.43802639842033386,35.0,-8.237361907958984e-05,-0.0013647996966028586,17920.0,0.0,0.2,-1.5256891595199704,45.0,0.5,1898.0,0.5158929824829102,0.00014562916476279497,0.0,256.0,0.8671875,266.3317565917969,0.0001,0.57421875,-478.5,-111.69563249982428
1.0,660.8612079620361,288.0,256.0,0.8125,0.66796875,0.4409634470939636,36.0,-9.524822235107422e-05,-0.001236227159097325,18432.0,0.0,0.2,-1.5494485395029187,45.0,0.5,2212.0,0.528784990310669,8.283834904432297e-05,0.0,256.0,0.5234375,304.5377502441406,0.0001,0.35546875,-464.0,-111.55154303541174
1.0,794.0396332740784,296.0,256.0,0.8671875,0.697265625,0.41164112091064453,37.0,-4.363059997558594e-05,-0.0006853876730019692,18944.0,0.0,0.2,-1.559266454540193,45.0,0.5,2191.0,0.5125663876533508,3.986828960478306e-05,0.0,256.0,0.52734375,399.6730041503906,0.0001,0.330078125,-463.0,-114.40662114382489
1.0,633.6112818717957,304.0,256.0,0.703125,0.791015625,0.46314162015914917,38.0,-5.8770179748535156e-05,-0.003152188546664547,19456.0,0.0,0.2,-1.5449019689112902,45.0,0.5,2108.0,0.48485633730888367,0.0007320136064663529,0.0,256.0,0.87890625,253.96517944335938,0.0001,0.587890625,-462.0,-118.95868446906796
1.0,482.1812701225281,312.0,256.0,0.68359375,0.763671875,0.4702428877353668,39.0,-5.1140785217285156e-05,-0.0008710093643458094,19968.0,0.0,0.2,-1.5336226634681225,45.0,0.5,2190.0,0.5362904071807861,9.02106985449791e-05,0.0,256.0,0.84375,180.67413330078125,0.0001,0.580078125,-467.5,-124.46775177583797
1.0,338.52237355709076,320.0,256.0,0.69921875,0.767578125,0.48779886960983276,40.0,-7.677078247070312e-05,-0.0071768776360841,20480.0,0.0,0.2,-1.4951064120978117,45.0,0.5,2056.0,0.5081647634506226,0.003433722071349621,0.0,256.0,0.8359375,152.48907470703125,0.0001,0.568359375,-452.5,-127.84048111102894
1.0,273.53880405426025,328.0,256.0,0.69921875,0.76953125,0.4889381229877472,41.0,-9.119510650634766e-05,-0.01050611947721336,20992.0,0.0,0.2,-1.4744944358244538,45.0,0.5,1636.0,0.47884270548820496,0.006459110416471958,0.00634765625,256.0,0.83984375,135.08255004882812,0.0001,0.5703125,-471.5,-129.17747766722343
1.0,236.11697220802307,336.0,256.0,0.66015625,0.7734375,0.5077944993972778,42.0,-5.7220458984375e-05,-0.002395291205175454,21504.0,0.0,0.2,-1.4563468527048826,45.0,0.5,2233.0,0.5029404759407043,0.0009890171932056546,0.0,256.0,0.88671875,79.44599914550781,0.0001,0.61328125,-472.0,-130.83030324323684
1.0,108.5123941898346,344.0,256.0,0.5859375,0.740234375,0.5470924973487854,43.0,-9.739398956298828e-05,-0.014423691682168283,22016.0,0.0,0.2,-1.3512231959030032,45.0,0.5,1990.0,0.5743848085403442,0.020248891785740852,0.125,256.0,0.89453125,48.36003494262695,0.0001,0.654296875,-458.0,-129.47359564356623
1.0,113.93390610814095,352.0,256.0,0.87890625,0.740234375,0.5326538681983948,44.0,-8.0108642578125e-05,-0.013200642730225809,22528.0,0.0,0.2,-1.378857840783894,45.0,0.5,2479.0,0.4822098910808563,0.016238071024417877,0.08984375,256.0,0.6015625,45.0119743347168,0.0001,0.361328125,-474.5,-123.51979382330668
1.0,100.58404266834259,360.0,256.0,0.7734375,0.68359375,0.536955714225769,45.0,-9.59634780883789e-05,-0.0173268984653987,23040.0,0.0,0.2,-1.0996090238913894,45.0,0.5,2076.0,0.546118438243866,0.02527782879769802,0.22998046875,256.0,0.59375,61.02659225463867,0.0001,0.41015625,-489.5,-119.36392001318629
1.0,93.03180602192879,368.0,256.0,0.703125,0.66796875,0.5366854667663574,46.0,-6.29425048828125e-05,-0.012858698937634472,23552.0,0.0,0.2,-1.1003656955435872,45.0,0.5,2283.0,0.5076349377632141,0.011342104524374008,0.267578125,256.0,0.6328125,64.9223861694336,0.0001,0.46484375,-480.0,-111.02668619337375
1.0,62.97495658695698,376.0,256.0,0.78125,0.705078125,0.5313221216201782,47.0,-3.4689903259277344e-05,-0.012562720752612222,24064.0,0.0,0.2,-0.9739883663132787,45.0,0.5,2164.0,0.4910210371017456,0.014162564650177956,0.239013671875,256.0,0.62890625,32.822509765625,0.0001,0.423828125,-478.0,-101.84167571158963
1.0,31.199506789445877,384.0,256.0,0.8125,0.705078125,0.528972327709198,48.0,-7.152557373046875e-06,-0.013314122545125429,24576.0,0.0,0.2,-0.9227805742993951,45.0,0.5,2035.0,0.5037529468536377,0.013014713302254677,0.141845703125,256.0,0.59765625,10.224675178527832,0.0001,0.392578125,-458.0,-94.95437522936496
1.0,35.85712065547705,392.0,256.0,0.89453125,0.75390625,0.5390112996101379,49.0,-1.537799835205078e-05,-0.014624692339566536,25088.0,0.0,0.2,-0.7430398878641427,45.0,0.5,1706.0,0.5037512183189392,0.013336919248104095,0.087890625,256.0,0.61328125,13.80881118774414,0.0001,0.359375,-444.5,-87.92066880432888
1.0,57.62211658060551,400.0,256.0,0.8203125,0.689453125,0.539837658405304,50.0,3.039836883544922e-05,-0.019087097607553005,25600.0,0.0,0.2,-0.7512894431129098,45.0,0.5,1477.0,0.5536450743675232,0.010128967463970184,0.12841796875,256.0,0.55859375,38.23676300048828,0.0001,0.369140625,-421.5,-83.63389364922419
1.0,18.16963652893901,408.0,256.0,0.8671875,0.6875,0.5070934295654297,51.0,2.9742717742919922e-05,-0.011748959201213438,26112.0,0.0,0.2,-0.651125420583412,45.0,0.5,2040.0,0.5755006074905396,0.029745742678642273,0.084716796875,256.0,0.5078125,10.006778717041016,0.0001,0.3203125,-424.5,-78.11292094319127
1.0,26.891259126365185,416.0,256.0,0.83203125,0.6484375,0.5441270470619202,52.0,9.757280349731445e-05,-0.009088540347875096,26624.0,0.0,0.2,-0.5554576017893851,45.0,0.5,2052.0,0.6122095584869385,0.007506620604544878,0.072509765625,256.0,0.46484375,10.521637916564941,0.0001,0.31640625,-402.5,-75.20667097708676
1.0,33.851388320326805,424.0,256.0,0.90625,0.673828125,0.5384929180145264,53.0,0.00016105175018310547,-0.0063639847649028525,27136.0,0.0,0.2,-0.5561063103377819,45.0,0.5,1796.0,0.5722882747650146,0.011356141418218613,0.0712890625,256.0,0.44140625,23.233381271362305,0.0001,0.267578125,-361.0,-73.01170549274364
1.0,37.99127072095871,432.0,256.0,0.88671875,0.662109375,0.5848932266235352,54.0,0.00041043758392333984,-0.012036943582643289,27648.0,0.0,0.2,-0.6919065951369703,45.0,0.5,2097.0,0.6160948872566223,0.013399693183600903,0.081298828125,256.0,0.4375,17.699134826660156,0.0001,0.275390625,-350.5,-72.59366160578037
1.0,21.6326222717762,440.0,256.0,0.765625,0.599609375,0.6180719137191772,55.0,-0.002129673957824707,-0.011489064680063166,28160.0,0.0,0.2,-0.7195257158018649,45.0,0.5,2097.0,0.7069393992424011,0.005061766132712364,0.059814453125,256.0,0.43359375,3.5717334747314453,0.0001,0.333984375,-342.0,-71.83717558463977
1.0,24.21481015533209,448.0,256.0,0.78125,0.607421875,0.6080045700073242,56.0,0.20792555809020996,-0.008855365282215644,28672.0,0.0,0.2,-0.7247404586523771,45.0,0.5,2173.0,0.6758249998092651,0.004324981477111578,0.04052734375,256.0,0.43359375,5.320664405822754,0.0001,0.326171875,-352.5,-69.20073293122405
1.0,20.2223118878901,456.0,256.0,0.6875,0.59765625,0.6174766421318054,57.0,-0.015018343925476074,-0.012325185423833318,29184.0,0.0,0.2,-0.7703117462806404,45.0,0.5,2068.0,0.6672829985618591,0.009983574971556664,0.05517578125,256.0,0.5078125,6.440984725952148,0.0001,0.41015625,-332.0,-65.41732894240354
1.0,25.05720615014434,464.0,256.0,0.71484375,0.609375,0.6126868724822998,58.0,0.38469672203063965,-0.008390689770749304,29696.0,0.0,0.2,-0.7370385210961103,45.0,0.5,2302.0,0.6757967472076416,0.005362918600440025,0.0439453125,256.0,0.50390625,12.085858345031738,0.0001,0.39453125,-329.5,-60.72877527021279
1.0,21.56823419779539,472.0,256.0,0.22265625,0.521484375,0.6088133454322815,59.0,0.31653445959091187,-0.011685509800372529,30208.0,0.0,0.2,-0.7783100507222116,45.0,0.5,2341.0,0.6787903904914856,0.009293630719184875,0.060791015625,256.0,0.8203125,7.348149299621582,0.0001,0.798828125,-327.0,-56.167076167705815
1.0,17.496606167405844,480.0,256.0,0.234375,0.537109375,0.6208231449127197,60.0,-0.07398366928100586,-0.00419320280343527,30720.0,0.0,0.2,-0.7704961784183979,45.0,0.5,1825.0,0.7239112854003906,0.006314787082374096,0.016845703125,256.0,0.83984375,7.1472625732421875,0.0001,0.802734375,-328.5,-50.65179919102171
