raw/gen/rollout/ep_rew_mean,raw/gen/time/fps,raw/gen/time/total_timesteps,raw/gen/rollout/ep_len_mean,raw/gen/time/time_elapsed,raw/gen/time/iterations,raw/gen/train/learning_rate,raw/gen/train/entropy_loss,raw/gen/train/loss,raw/gen/train/approx_kl,raw/gen/train/n_updates,raw/gen/train/policy_gradient_loss,raw/gen/train/clip_range,raw/gen/train/value_loss,raw/gen/rollout/ep_rew_wrapped_mean,raw/gen/train/explained_variance,raw/gen/train/clip_fraction
-522.5,2412,53248,45.0,0,1,0.0001,-0.6683828542008996,7.516345024108887,0.008352866,824,-0.0071887274461914785,0.2,16.79379826039076,-57.89741524175275,-0.18665897846221924,0.01318359375
-530.5,2380,53760,45.0,0,1,0.0001,-0.6500111692585051,4.902371883392334,0.0022816034,832,-0.00883965768298367,0.2,17.045007035136223,-59.626575429821386,0.2533476948738098,0.01318359375
-527.0,2385,54272,45.0,0,1,0.0001,-0.6171755474060774,2.9394984245300293,0.01133273,840,-0.011562742402020376,0.2,17.681870138272643,-60.893069847458975,0.10861349105834961,0.072509765625
-513.5,2110,54784,45.0,0,1,0.0001,-0.539537511067465,4.186911582946777,0.006871611,848,-0.011923077570827445,0.2,9.02713572466746,-61.64676902504638,0.4059746265411377,0.0498046875
-510.5,1800,55296,45.0,0,1,0.0001,-0.5688292281702161,6.629707336425781,0.005549811,856,-0.015935316714603687,0.2,14.29158078879118,-61.08183251757175,0.3312142491340637,0.038330078125
-495.0,2125,55808,45.0,0,1,0.0001,-0.4461052003316581,0.7428675293922424,0.005159783,864,-0.009429691657715011,0.2,5.271231615450233,-60.36536244035698,0.5557745397090912,0.07373046875
-489.0,2207,56320,45.0,0,1,0.0001,-0.43270966899581254,7.587408065795898,0.0039446466,872,-0.011767353000323055,0.2,35.09947055578232,-59.03402596977539,0.3361833691596985,0.02001953125
-446.5,1882,56832,45.0,0,1,0.0001,-0.457124887034297,1.8844821453094482,0.008464776,880,-0.01196652805811027,0.2,8.869277537800372,-57.909739768682044,0.51541468501091,0.052001953125
-430.0,2056,57344,45.0,0,1,0.0001,-0.5419481312856078,5.0328369140625,0.0043040277,888,-0.009295049640059005,0.2,23.12829102575779,-56.663361834276,0.1818699836730957,0.04736328125
-410.0,2125,57856,45.0,0,1,0.0001,-0.46017479337751865,5.278534889221191,0.0043191654,896,-0.009239531616913155,0.2,13.363117706030607,-57.09585336799035,0.7085165083408356,0.026611328125
