mean/disc/n_expert,mean/disc/disc_proportion_expert_pred,mean/gen/train/approx_kl,mean/gen/time/fps,mean/gen/train/n_updates,mean/disc/disc_proportion_expert_true,mean/gen/train/policy_gradient_loss,mean/disc/disc_acc_expert,mean/disc/disc_entropy,mean/gen/time/time_elapsed,mean/gen/train/explained_variance,mean/gen/time/iterations,mean/gen/time/total_timesteps,mean/gen/train/learning_rate,mean/disc/global_step,mean/gen/train/clip_range,mean/gen/train/value_loss,mean/disc/n_generated,mean/gen/train/clip_fraction,mean/disc/disc_acc,mean/gen/train/entropy_loss,mean/gen/rollout/ep_rew_mean,mean/gen/rollout/ep_len_mean,mean/disc/disc_acc_gen,mean/gen/train/loss,mean/disc/disc_loss,mean/gen/rollout/ep_rew_wrapped_mean
256.0,0.5,0.004365325905382633,2876.0,288.0,0.5,-0.007915784022770822,0.890625,0.5059843063354492,0.0,0.253423273563385,1.0,18432.0,0.0001,36.0,0.2,0.12689470406621695,256.0,0.0419921875,0.890625,-0.35957846068777144,-520.5,45.0,0.890625,0.019290298223495483,0.5584723949432373,-6.962623232267797
256.0,0.49609375,0.0033413120545446873,2799.0,296.0,0.5,-0.005243033745500725,0.86328125,0.4935532212257385,0.0,0.23975330591201782,1.0,18944.0,0.0001,37.0,0.2,0.1342126864765305,256.0,0.03564453125,0.8671875,-0.3363325516693294,-522.0,45.0,0.87109375,0.04467087984085083,0.576038122177124,-7.322929186038673
256.0,0.478515625,0.002485979814082384,2877.0,304.0,0.5,-0.004126980402361369,0.8359375,0.4950246214866638,0.0,0.16087275743484497,1.0,19456.0,0.0001,38.0,0.2,0.14225251198513433,256.0,0.02197265625,0.857421875,-0.3538318823557347,-515.0,45.0,0.87890625,0.029819827526807785,0.5801541209220886,-7.679791336394846
256.0,0.517578125,0.002095920965075493,2923.0,312.0,0.5,-0.004468588282179553,0.859375,0.5151516795158386,0.0,0.06649625301361084,1.0,19968.0,0.0001,39.0,0.2,0.1764609236852266,256.0,0.022705078125,0.841796875,-0.3697927522007376,-538.0,45.0,0.82421875,0.05479893460869789,0.5643876791000366,-8.079317722059786
256.0,0.51953125,0.003142965491861105,2928.0,320.0,0.5,-0.004251271409884794,0.8984375,0.49999088048934937,0.0,0.009608805179595947,1.0,20480.0,0.0001,40.0,0.2,0.18938841379713267,256.0,0.0302734375,0.87890625,-0.4002768655773252,-525.5,45.0,0.859375,0.06549173593521118,0.5612399578094482,-8.445687651373445
256.0,0.53125,0.0019329170463606715,3105.0,328.0,0.5,-0.002815544663462788,0.921875,0.4825793504714966,0.0,0.09513580799102783,1.0,20992.0,0.0001,41.0,0.2,0.22705427289474756,256.0,0.0234375,0.890625,-0.33277898328378797,-523.0,45.0,0.859375,0.02294990047812462,0.5607848167419434,-8.850064223818482
256.0,0.48828125,0.002025813329964876,2964.0,336.0,0.5,-0.004725610924651846,0.8203125,0.5107458829879761,0.0,0.07069253921508789,1.0,21504.0,0.0001,42.0,0.2,0.244153774343431,256.0,0.02197265625,0.83203125,-0.3158422567648813,-525.0,45.0,0.84375,0.06611211597919464,0.5895607471466064,-9.266979793421925
256.0,0.48828125,0.0009946877835318446,3093.0,344.0,0.5,-0.0014944174326956272,0.87890625,0.505474328994751,0.0,0.07502138614654541,1.0,22016.0,0.0001,43.0,0.2,0.30300385830923915,256.0,0.00732421875,0.890625,-0.2969527541426942,-530.5,45.0,0.90234375,0.12171997129917145,0.5413459539413452,-9.665801487378776
256.0,0.498046875,0.002280046232044697,3193.0,352.0,0.5,-0.001993066427530721,0.88671875,0.5075995922088623,0.0,0.05401885509490967,1.0,22528.0,0.0001,44.0,0.2,0.28273173834895715,256.0,0.015869140625,0.888671875,-0.3193396052811295,-530.5,45.0,0.890625,0.09446235001087189,0.5193567872047424,-10.132984516136348
256.0,0.49609375,0.00539340078830719,3018.0,360.0,0.5,-0.004203214826702606,0.875,0.5123283267021179,0.0,0.032753825187683105,1.0,23040.0,0.0001,45.0,0.2,0.33842760912375525,256.0,0.02392578125,0.87890625,-0.3280261172913015,-526.5,45.0,0.8828125,0.08507496863603592,0.568949282169342,-10.58303783442825
256.0,0.517578125,0.005090325605124235,2993.0,368.0,0.5,-0.0069639313442166895,0.92578125,0.5124309062957764,0.0,0.19829493761062622,1.0,23552.0,0.0001,46.0,0.2,0.3996763068716973,256.0,0.026611328125,0.908203125,-0.3679680973291397,-520.5,45.0,0.890625,0.11951418966054916,0.5547096133232117,-11.065008304938674
256.0,0.568359375,0.004510920029133558,2951.0,376.0,0.5,-0.0037689508753828704,0.9453125,0.5071502923965454,0.0,0.06786686182022095,1.0,24064.0,0.0001,47.0,0.2,0.3857695302576758,256.0,0.02099609375,0.876953125,-0.4216145188547671,-524.0,45.0,0.80859375,0.08382998406887054,0.5645322203636169,-11.535158423744143
256.0,0.58203125,0.0033544162288308144,2714.0,384.0,0.5,-0.012345470786385704,0.95703125,0.512633204460144,0.0,0.29082995653152466,1.0,24576.0,0.0001,48.0,0.2,0.5665122538339347,256.0,0.031982421875,0.875,-0.5114964947570115,-511.5,45.0,0.79296875,0.12941482663154602,0.5581122040748596,-11.978824414610862
256.0,0.572265625,0.003965895157307386,2818.0,392.0,0.5,-0.006448756474128459,0.9609375,0.4951664209365845,0.0,0.35688745975494385,1.0,25088.0,0.0001,49.0,0.2,0.5812204303219914,256.0,0.037109375,0.888671875,-0.47328110481612384,-509.0,45.0,0.81640625,0.15074732899665833,0.5889873504638672,-12.437111115716398
256.0,0.5859375,0.007073264569044113,3015.0,400.0,0.5,-0.006319558655377477,0.984375,0.4919859766960144,0.0,0.12566214799880981,1.0,25600.0,0.0001,50.0,0.2,0.587658136151731,256.0,0.023193359375,0.8984375,-0.433939219918102,-516.5,45.0,0.8125,0.13814273476600647,0.571628212928772,-12.84532523524016
256.0,0.642578125,0.005429883021861315,2780.0,408.0,0.5,-0.015205679737846367,0.9765625,0.4922601282596588,0.0,0.30310750007629395,1.0,26112.0,0.0001,51.0,0.2,0.7920427707722411,256.0,0.046142578125,0.833984375,-0.495551084401086,-489.0,45.0,0.69140625,0.1289878785610199,0.6540096998214722,-13.405329504609108
256.0,0.583984375,0.005417730659246445,3043.0,416.0,0.5,-0.005743646324845031,0.96875,0.5032281875610352,0.0,0.35177892446517944,1.0,26624.0,0.0001,52.0,0.2,0.8859800753416494,256.0,0.0185546875,0.884765625,-0.42463393160142004,-465.5,45.0,0.80078125,0.3531888425350189,0.5907256007194519,-13.893039932306856
